# ID  RA  Dec  zRS  ENVIRONMENT  
417  171.41658  -0.066802983  0.04012571  4  
410  170.5812  -0.62087663  0.0401581  4  
411  170.3728  -0.58885009  0.04991531  4  
412  170.89598  -0.090130957  0.04832833  4  
413  170.63028  -0.017128795  0.04074237  4  
498  171.4377  14.67659  0.03401268  1  
418  171.44804  -0.7123463  0.02630446  1  
419  171.46708  -0.92255555  0.04103979  4  
499  171.49502  15.504376  0.0280097  4  
319  225.2025  0.4923975  0.04256609  4  
318  224.79112  0.75956396  0.04106777  1  
313  220.94264  0.71789708  0.0503807  4  
312  220.83067  1.1713897  0.04977832  4  
311  220.82735  -1.2534416  0.04977922  1  
310  219.37553  -0.84073512  0.05070959  4  
317  223.13316  -0.16635671  0.04244369  1  
316  223.19981  0.033080542  0.04434668  1  
315  223.39813  -0.4365642  0.04227361  4  
314  223.40383  0.0056962864  0.04384198  1  
496  199.35604  9.3221962  0.02196513  4  
497  172.04178  14.690255  0.03778081  4  
3  150.76561  12.949964  0.03565385  1  
368  219.56877  -0.34973752  0.03689807  1  
369  158.71076  0.6764098  0.03203462  1  
366  216.88133  -0.92242203  0.03034461  1  
367  216.88066  -0.59100022  0.04957435  4  
364  217.44188  -0.15240642  0.03010685  4  
365  217.34472  -0.82754393  0.04808114  4  
362  217.42429  0.36900641  0.05374633  1  
363  217.43418  0.081259718  0.05465845  1  
360  216.19247  1.1708777  0.03944385  1  
361  216.40848  1.0126345  0.05472433  4  
380  162.98346  -0.41749728  0.04805402  4  
381  162.88699  -1.0028922  0.03730522  1  
382  162.90058  -1.0878652  0.03829499  1  
383  162.91004  -1.1261567  0.03810253  1  
384  162.71588  -0.90337531  0.03808302  1  
385  162.73436  -0.79789964  0.03755802  4  
386  162.47245  -0.39296897  0.03807246  1  
387  162.40637  -0.90711486  0.03836371  1  
388  162.65328  -0.83108198  0.03768215  4  
389  162.28948  -0.9085465  0.03804233  1  
60  236.93527  9.0179555  0.05135702  1  
61  237.02307  9.1180703  0.04179446  1  
258  208.68607  0.11509863  0.02983897  1  
259  209.27672  0.75954513  0.04869257  4  
64  237.09723  9.1050456  0.04173599  1  
65  237.0682  9.1159231  0.04171704  1  
66  238.32741  7.5582389  0.04336397  4  
67  238.2473  8.0164793  0.04103215  1  
252  205.42577  0.63591717  0.04894651  4  
69  238.82808  7.8408122  0.05057342  4  
250  155.63074  0.69304681  0.03367727  1  
251  156.14897  1.1098312  0.02170384  4  
256  210.68384  -0.58758386  0.05433095  4  
257  210.54408  -0.23621133  0.04425279  1  
254  206.80646  -0.67132914  0.04749686  4  
255  210.90651  -0.1400138  0.04798348  4  
500  174.08127  15.497894  0.03638488  1  
469  197.58893  7.9527695  0.04566316  4  
468  197.63555  8.5085688  0.03241227  4  
465  195.82139  7.782156  0.04455037  1  
464  195.89774  7.9968548  0.04631826  1  
467  195.92246  7.5157023  0.0489157  1  
466  195.90776  7.9040043  0.04610218  1  
461  195.79164  7.548593  0.04875144  1  
460  195.37184  7.8416079  0.04544774  1  
463  195.88173  7.9679909  0.04658419  1  
462  195.68075  7.6721832  0.04917878  1  
168  151.56104  -0.98272919  0.04583225  4  
169  151.97043  -0.15373621  0.04611932  1  
164  150.44232  -0.21109708  0.03312969  4  
165  150.51385  -0.21379652  0.04516219  4  
166  150.47062  -0.12517918  0.03283051  4  
167  151.64216  -0.88433315  0.04341146  4  
160  148.97539  0.33293438  0.04747811  4  
161  149.041  0.32583021  0.03545549  4  
162  150.01692  -0.58805614  0.04600773  4  
163  150.00945  -1.0622464  0.04609136  4  
9  150.96902  12.883048  0.05220002  4  
357  215.61509  0.059059204  0.03167036  4  
356  171.90895  0.66418945  0.0291669  4  
355  172.06834  0.89136864  0.03989454  1  
354  171.49419  0.8214892  0.04921554  1  
353  171.06254  0.41889841  0.03966612  4  
352  171.03828  0.70055349  0.02600551  1  
351  170.20004  0.46860645  0.0241728  1  
350  170.10672  1.0668276  0.02303798  4  
359  216.5748  0.15433  0.05433347  4  
358  216.13817  1.177306  0.03877855  1  
216  149.44456  0.67282345  0.04660738  3  
217  149.37023  0.58818421  0.04639048  3  
214  147.89718  0.43473978  0.02063313  4  
215  149.53812  0.60086726  0.04669769  3  
212  147.51314  0.71902039  0.03094283  4  
213  147.89586  1.1120728  0.02054176  4  
210  145.72946  0.12689565  0.03669919  4  
211  146.02091  0.7335569  0.03617733  1  
218  149.43027  0.6899478  0.04589036  1  
219  149.55064  0.23722537  0.03502265  4  
289  168.95588  0.8604087  0.04581992  1  
288  168.95747  0.99311152  0.04612494  1  
4  150.85092  12.957766  0.03518408  4  
281  170.0444  -0.27544492  0.0400801  4  
280  168.36645  -0.056909478  0.03937292  1  
283  169.67904  -0.36162999  0.04057546  1  
282  168.98102  -0.773836  0.02725009  4  
285  168.86029  0.26984368  0.04394962  4  
284  168.74148  0.48968267  0.04916326  4  
287  169.10371  0.78188274  0.0459212  1  
286  168.84205  0.11539415  0.02736283  4  
263  212.02417  -0.1941604  0.05358892  4  
262  212.13171  -0.12704596  0.02506297  4  
261  212.08556  -0.67546128  0.05252395  1  
260  212.0878  -0.59128621  0.05232558  1  
267  158.46399  -0.56135194  0.03133979  1  
266  211.68879  -0.59641286  0.05274726  4  
265  212.10361  -0.58914533  0.05267616  1  
264  212.0066  -0.22561372  0.05328913  1  
269  159.79762  -0.015888204  0.04991302  4  
268  159.79914  -0.40949106  0.01876407  1  
59  237.03278  9.1671343  0.03904946  1  
58  236.99379  9.1591325  0.03898042  1  
55  237.09703  9.837839  0.04008262  4  
54  237.16106  9.817032  0.05111079  4  
57  237.04894  9.0734947  0.03926871  4  
56  237.19601  9.5240641  0.04018098  1  
51  237.13583  8.5879281  0.01426534  4  
62  237.47837  9.8286351  0.04583357  1  
53  237.07242  9.3985044  0.04042561  4  
52  237.11744  9.5355789  0.03693713  4  
63  237.29432  10.052189  0.05116936  4  
50  236.8653  8.3211813  0.0412666  1  
115  175.4361  12.493644  0.03417505  1  
68  238.71564  7.9489673  0.04503428  4  
117  176.39602  12.204941  0.0309458  4  
116  175.47873  12.508537  0.03449763  1  
111  172.10508  12.158667  0.04601798  4  
110  169.92424  11.990139  0.03980825  1  
113  173.73674  13.008795  0.03438968  4  
253  205.49588  0.60149165  0.04768935  1  
119  178.74228  12.835974  0.05459871  4  
118  178.68803  12.959344  0.05462075  4  
429  163.70822  14.124429  0.0327373  4  
428  215.96583  0.83114803  0.03854642  4  
421  215.97523  -0.98393717  0.05239152  4  
420  214.3831  1.1408593  0.05431639  1  
423  215.84445  -0.93197744  0.0545384  4  
422  216.04581  -0.67890513  0.05047373  1  
425  215.94452  -0.66410701  0.05255749  4  
424  216.00782  -0.77357037  0.052235  4  
427  215.77429  0.81062074  0.05380911  4  
426  215.68321  -1.0286977  0.03876558  4  
308  216.81292  0.93109224  0.05225234  4  
309  217.0189  1.0063377  0.02566936  1  
300  217.56241  0.62139459  0.0262329  4  
301  216.83486  1.0258977  0.02565639  1  
302  216.81064  0.99033868  0.05238415  4  
303  216.87356  1.0558571  0.02577279  1  
304  217.07668  1.1295944  0.05488437  1  
305  217.30229  0.85042332  0.05437197  1  
306  217.30666  1.0717938  0.03689209  4  
307  218.90785  -1.0294385  0.03835317  4  
229  150.08223  0.4782499  0.04612698  4  
228  150.03877  0.19701772  0.04675085  4  
227  150.08477  0.50597453  0.03316718  4  
226  150.13205  0.54897864  0.03252227  4  
225  150.06597  0.51724897  0.03290574  4  
224  150.10153  0.70459403  0.03337267  1  
223  149.65731  0.87075168  0.03902926  4  
222  149.91553  0.54105659  0.04483392  4  
221  149.70775  0.16144659  0.04730976  4  
220  149.64744  0.57001104  0.04577184  4  
114  173.61821  12.451974  0.04124846  4  
391  164.35813  -0.71444173  0.05399065  4  
390  164.30684  -0.8317685  0.03855626  4  
151  242.18759  24.20484  0.04089347  4  
150  242.74847  24.435982  0.03360607  4  
